target,N,stratum,model,n_eval,n_active,ap,ef1
540297-493091,100,similarity_active_lt03,nearest_active,48184,665,0.021316609503869807,2.2548903378778897
540297-493091,100,similarity_active_03_04,base,1329,58,0.13676570447100359,7.050397877984085
540297-493091,100,similarity_active_03_04,headft,1329,58,0.19880527327460715,10.575596816976127
540297-493091,100,similarity_active_03_04,nearest_active,1329,58,0.05115687594974017,0.0
540297-493091,100,similarity_active_04_055,base,155,9,,
540297-493091,100,similarity_active_04_055,headft,155,9,,
540297-493091,100,similarity_active_04_055,nearest_active,155,9,,
540297-493091,100,similarity_active_ge055,base,17,7,,
540297-493091,100,similarity_active_ge055,headft,17,7,,
540297-493091,100,similarity_active_ge055,nearest_active,17,7,,
540297-493091,300,all,base,49685,739,0.059167923293326534,7.169689313145449
540297-493091,300,all,headft,49685,739,0.09464320793871993,13.933547155735495
540297-493091,300,all,nearest_active,49685,739,0.08893794557617485,11.092726861847677
540297-493091,300,murcko_seen_any,base,803,35,0.189132519610827,2.867857142857143
540297-493091,300,murcko_seen_any,headft,803,35,0.41678915875657013,14.339285714285714
540297-493091,300,murcko_seen_any,nearest_active,803,35,0.6947875039332447,20.075
540297-493091,300,murcko_unseen_any,base,48818,704,0.053625405037650696,6.110207479508197
540297-493091,300,murcko_unseen_any,headft,48818,704,0.0807291894555931,12.646708504098362
540297-493091,300,murcko_unseen_any,nearest_active,48818,704,0.051855813857459104,8.66796875
540297-493091,300,murcko_unseen_active,base,49567,712,0.05266405811664248,6.175663736861182
540297-493091,300,murcko_unseen_active,headft,49567,712,0.07965157082133117,12.351327473722364
540297-493091,300,murcko_unseen_active,nearest_active,49567,712,0.05007790773314778,8.561715635193911
540297-493091,300,generic_unseen_any,base,42584,662,0.05788481190980976,6.342027998808561
540297-493091,300,generic_unseen_any,headft,42584,662,0.08407304395661122,12.684055997617122
540297-493091,300,generic_unseen_any,nearest_active,42584,662,0.054987856350265964,8.45603733174475
540297-493091,300,acyclic,base,64,0,,
540297-493091,300,acyclic,headft,64,0,,
540297-493091,300,acyclic,nearest_active,64,0,,
540297-493091,300,canonical_not_in_training,base,49685,739,0.059167923293326534,7.169689313145449
540297-493091,300,canonical_not_in_training,headft,49685,739,0.09464320793871993,13.933547155735495
540297-493091,300,canonical_not_in_training,nearest_active,49685,739,0.08893794557617485,11.092726861847677
540297-493091,300,similarity_any_lt03,base,35763,368,0.03568007660597815,6.514998785523439
540297-493091,300,similarity_any_lt03,headft,35763,368,0.045679733368015035,9.501039895555015
540297-493091,300,similarity_any_lt03,nearest_active,35763,368,0.016257823319094394,2.7145828273014327
540297-493091,300,similarity_active_lt03,base,45526,508,0.03708617657075044,6.30281214848144
540297-493091,300,similarity_active_lt03,headft,45526,508,0.04958349127591374,10.832958380202475
540297-493091,300,similarity_active_lt03,nearest_active,45526,508,0.018318493865767064,2.166591676040495
540297-493091,300,similarity_active_03_04,base,3642,148,0.10188803039468161,4.101351351351351
540297-493091,300,similarity_active_03_04,headft,3642,148,0.13436283966926366,4.78490990990991
540297-493091,300,similarity_active_03_04,nearest_active,3642,148,0.05361068434063858,2.734234234234234
540297-493091,300,similarity_active_04_055,base,459,52,0.18250429193247442,0.0
540297-493091,300,similarity_active_04_055,headft,459,52,0.24339120246135065,5.296153846153846
540297-493091,300,similarity_active_04_055,nearest_active,459,52,0.1707733316199411,3.530769230769231
540297-493091,300,similarity_active_ge055,base,58,31,0.7300198715374213,1.870967741935484
540297-493091,300,similarity_active_ge055,headft,58,31,0.686746197958048,1.870967741935484
540297-493091,300,similarity_active_ge055,nearest_active,58,31,0.785912606215474,1.870967741935484
434954-2097,40,all,base,49615,415,0.0810372751713675,18.077754566653713
434954-2097,40,all,headft,49615,415,0.07511602439664995,16.390497473766032
434954-2097,40,all,nearest_active,49615,415,0.1274755037784119,24.10367275553828
434954-2097,40,murcko_seen_any,base,65,8,,
434954-2097,40,murcko_seen_any,headft,65,8,,
434954-2097,40,murcko_seen_any,nearest_active,65,8,,
434954-2097,40,murcko_unseen_any,base,49479,407,0.07596825043724753,17.682912664730846
434954-2097,40,murcko_unseen_any,headft,49479,407,0.06913077832626961,14.981356563174746
434954-2097,40,murcko_unseen_any,nearest_active,49479,407,0.11042923697913697,22.840428858610675
434954-2097,40,murcko_unseen_active,base,49488,407,0.07550966761144151,17.686129104310922
434954-2097,40,murcko_unseen_active,headft,49488,407,0.06909512574392707,14.984081602263423
434954-2097,40,murcko_unseen_active,nearest_active,49488,407,0.11040244883343019,22.84458342640161
434954-2097,40,generic_unseen_any,base,48103,376,0.06781592750670543,16.75636417923652
434954-2097,40,generic_unseen_any,headft,48103,376,0.0551155785338041,11.968831556597515
434954-2097,40,generic_unseen_any,nearest_active,48103,376,0.086611427627945,20.214026628920248
434954-2097,40,acyclic,base,71,0,,
434954-2097,40,acyclic,headft,71,0,,
434954-2097,40,acyclic,nearest_active,71,0,,
434954-2097,40,canonical_not_in_training,base,49615,415,0.0810372751713675,18.077754566653713
434954-2097,40,canonical_not_in_training,headft,49615,415,0.07511602439664995,16.390497473766032
434954-2097,40,canonical_not_in_training,nearest_active,49615,415,0.1274755037784119,24.10367275553828
434954-2097,40,similarity_any_lt03,base,46250,264,0.049709372165191425,15.926308539944904
434954-2097,40,similarity_any_lt03,headft,46250,264,0.029726827023688947,7.5839564475928105
434954-2097,40,similarity_any_lt03,nearest_active,46250,264,0.005765612217320207,0.0
434954-2097,40,similarity_active_lt03,base,47414,267,0.046403096423462915,15.734983169771963
434954-2097,40,similarity_active_lt03,headft,47414,267,0.028671703449382403,7.1182066720396975
434954-2097,40,similarity_active_lt03,nearest_active,47414,267,0.005631277015554976,0.0
434954-2097,40,similarity_active_03_04,base,1959,79,0.15321272654524656,2.4797468354430383
434954-2097,40,similarity_active_03_04,headft,1959,79,0.1928481855899321,7.439240506329114
434954-2097,40,similarity_active_03_04,nearest_active,1959,79,0.19205620558466874,9.918987341772153
434954-2097,40,similarity_active_04_055,base,226,57,0.5813872302836912,3.9649122807017543
434954-2097,40,similarity_active_04_055,headft,226,57,0.5930971767916638,1.9824561403508771
434954-2097,40,similarity_active_04_055,nearest_active,226,57,0.33843755165690936,0.0
434954-2097,40,similarity_active_ge055,base,16,12,1.0,1.3333333333333333
434954-2097,40,similarity_active_ge055,headft,16,12,1.0,1.3333333333333333
434954-2097,40,similarity_active_ge055,nearest_active,16,12,0.8196669071669073,1.3333333333333333
434954-2097,100,all,base,49615,415,0.0810372751713675,18.077754566653713
434954-2097,100,all,headft,49615,415,0.10387201583755937,22.17537893509522
434954-2097,100,all,nearest_active,49615,415,0.21504190605289536,29.406480761756708
434954-2097,100,murcko_seen_any,base,174,28,0.6742827416939493,3.107142857142857
434954-2097,100,murcko_seen_any,headft,174,28,0.8260446000185887,6.214285714285714
434954-2097,100,murcko_seen_any,nearest_active,174,28,0.8009803937627221,6.214285714285714
434954-2097,100,murcko_unseen_any,base,49370,387,0.06118141409951738,14.97797863770936
434954-2097,100,murcko_unseen_any,headft,49370,387,0.07430226680933863,17.56038874765925
434954-2097,100,murcko_unseen_any,nearest_active,49370,387,0.16162606246290698,25.824101099498893
434954-2097,100,murcko_unseen_active,base,49433,388,0.06109064800201886,15.216343545223092
434954-2097,100,murcko_unseen_active,headft,49433,388,0.07454602266850388,17.537480696189323
434954-2097,100,murcko_unseen_active,nearest_active,49433,388,0.16116175794533089,25.790412788513713
434954-2097,100,generic_unseen_any,base,46594,343,0.056658845080448376,15.741413180845605
434954-2097,100,generic_unseen_any,headft,46594,343,0.05043235684358411,13.409351968868478
434954-2097,100,generic_unseen_any,nearest_active,46594,343,0.11730747218814683,20.988550907794142
434954-2097,100,acyclic,base,71,0,,
434954-2097,100,acyclic,headft,71,0,,
434954-2097,100,acyclic,nearest_active,71,0,,
434954-2097,100,canonical_not_in_training,base,49615,415,0.0810372751713675,18.077754566653713
434954-2097,100,canonical_not_in_training,headft,49615,415,0.10387201583755937,22.17537893509522
434954-2097,100,canonical_not_in_training,nearest_active,49615,415,0.21504190605289536,29.406480761756708
434954-2097,100,similarity_any_lt03,base,42489,212,0.030567341078676518,9.903096559378469
434954-2097,100,similarity_any_lt03,headft,42489,212,0.021629495745027878,7.07364039955605
434954-2097,100,similarity_any_lt03,nearest_active,42489,212,0.006899054908270672,1.4147280799112099
434954-2097,100,similarity_active_lt03,base,46091,226,0.02803788585265,10.617395811337415
434954-2097,100,similarity_active_lt03,headft,46091,226,0.02042750934519248,6.635872382085884
434954-2097,100,similarity_active_lt03,nearest_active,46091,226,0.006406303199068817,1.327174476417177
434954-2097,100,similarity_active_03_04,base,3000,67,0.08131624664881874,4.477611940298508
434954-2097,100,similarity_active_03_04,headft,3000,67,0.08002443557844902,5.970149253731343
434954-2097,100,similarity_active_03_04,nearest_active,3000,67,0.0654952688085907,2.9850746268656714
434954-2097,100,similarity_active_04_055,base,437,62,0.29266726184272296,1.7620967741935485
434954-2097,100,similarity_active_04_055,headft,437,62,0.46728540318764633,3.524193548387097
434954-2097,100,similarity_active_04_055,nearest_active,437,62,0.28212412329355174,0.0
434954-2097,100,similarity_active_ge055,base,87,60,0.8456304196748607,1.45
434954-2097,100,similarity_active_ge055,headft,87,60,0.8256783918148191,1.45
434954-2097,100,similarity_active_ge055,nearest_active,87,60,0.7781789516124532,1.45
434954-2097,300,all,base,49615,415,0.0810372751713675,18.077754566653713
434954-2097,300,all,headft,49615,415,0.2857676119980832,32.780994947532065
434954-2097,300,all,nearest_active,49615,415,0.3029385041499828,39.2889865915274
434954-2097,300,murcko_seen_any,base,2230,77,0.32566091439171696,13.164108618654073
434954-2097,300,murcko_seen_any,headft,2230,77,0.6675721589397772,27.644628099173556
434954-2097,300,murcko_seen_any,nearest_active,2230,77,0.7175099799002732,25.011806375442738
434954-2097,300,murcko_unseen_any,base,47314,338,0.050443438255959344,14.50133229918561
434954-2097,300,murcko_unseen_any,headft,47314,338,0.19785093649069066,26.931045698487562
434954-2097,300,murcko_unseen_any,nearest_active,47314,338,0.19819319412060837,30.186446826876168
434954-2097,300,murcko_unseen_active,base,49349,351,0.04982588119461577,13.973989124090544
434954-2097,300,murcko_unseen_active,headft,49349,351,0.19049435874969547,25.951694087596724
434954-2097,300,murcko_unseen_active,nearest_active,49349,351,0.18969983838288448,29.659078957253396
434954-2097,300,generic_unseen_any,base,41367,266,0.0474839916666615,13.52304674730304
434954-2097,300,generic_unseen_any,headft,41367,266,0.14466515185041773,23.66533180778032
434954-2097,300,generic_unseen_any,nearest_active,41367,266,0.15294720289638475,25.919172932330824
434954-2097,300,acyclic,base,71,0,,
434954-2097,300,acyclic,headft,71,0,,
434954-2097,300,acyclic,nearest_active,71,0,,
434954-2097,300,canonical_not_in_training,base,49615,415,0.0810372751713675,18.077754566653713
434954-2097,300,canonical_not_in_training,headft,49615,415,0.2857676119980832,32.780994947532065
434954-2097,300,canonical_not_in_training,nearest_active,49615,415,0.3029385041499828,39.2889865915274
434954-2097,300,similarity_any_lt03,base,34409,124,0.024442062278204654,12.099939047261815
434954-2097,300,similarity_any_lt03,headft,34409,124,0.029913304409078623,12.099939047261815
434954-2097,300,similarity_any_lt03,nearest_active,34409,124,0.005087878805562214,2.419987809452363
434954-2097,300,similarity_active_lt03,base,44512,178,0.02192745212197521,10.115086478979926
434954-2097,300,similarity_active_lt03,headft,44512,178,0.025310514972131996,11.238984976644362
434954-2097,300,similarity_active_lt03,nearest_active,44512,178,0.00544603462682,1.1238984976644364
434954-2097,300,similarity_active_03_04,base,4339,69,0.05755620446621025,8.774519716885742
434954-2097,300,similarity_active_03_04,headft,4339,69,0.11613992904227632,14.624199528142904
434954-2097,300,similarity_active_03_04,nearest_active,4339,69,0.05512822044426153,5.849679811257161
434954-2097,300,similarity_active_04_055,base,586,59,0.19676768927872124,1.655367231638418
434954-2097,300,similarity_active_04_055,headft,586,59,0.3286021268559592,8.27683615819209
434954-2097,300,similarity_active_04_055,nearest_active,586,59,0.26747604544224163,3.310734463276836
434954-2097,300,similarity_active_ge055,base,178,109,0.7079051021110396,1.6330275229357796
434954-2097,300,similarity_active_ge055,headft,178,109,0.8727463166201839,1.6330275229357796
434954-2097,300,similarity_active_ge055,nearest_active,178,109,0.7870907620785861,1.6330275229357796
463203-2650,40,all,base,49582,542,0.07122135724788917,13.83261665277943
463203-2650,40,all,headft,49582,542,0.041732761884973976,5.717481549815498
463203-2650,40,all,nearest_active,49582,542,0.015145205109993919,2.0287837757409832
463203-2650,40,murcko_seen_any,base,65,7,,
463203-2650,40,murcko_seen_any,headft,65,7,,
463203-2650,40,murcko_seen_any,nearest_active,65,7,,
463203-2650,40,murcko_unseen_any,base,49429,535,0.06844027718376954,13.465844337659389
463203-2650,40,murcko_unseen_any,headft,49429,535,0.040320792521912265,5.79779408982557
463203-2650,40,murcko_unseen_any,nearest_active,49429,535,0.012827139936056277,1.6832305422074236
463203-2650,40,murcko_unseen_active,base,49460,540,0.07019572275259674,13.50759446315002
463203-2650,40,murcko_unseen_active,headft,49460,540,0.04134333894954262,5.9211372989150775
463203-2650,40,murcko_unseen_active,nearest_active,49460,540,0.013089022590678944,1.6653198653198653
463203-2650,40,generic_unseen_any,base,48287,521,0.06632994280014579,12.856423584204606
463203-2650,40,generic_unseen_any,headft,48287,521,0.03958343981374411,5.564720655849755
463203-2650,40,generic_unseen_any,nearest_active,48287,521,0.012586426751580436,1.5350953533378637
463203-2650,40,acyclic,base,88,0,,
463203-2650,40,acyclic,headft,88,0,,
463203-2650,40,acyclic,nearest_active,88,0,,
463203-2650,40,canonical_not_in_training,base,49582,542,0.07122135724788917,13.83261665277943
463203-2650,40,canonical_not_in_training,headft,49582,542,0.041732761884973976,5.717481549815498
463203-2650,40,canonical_not_in_training,nearest_active,49582,542,0.015145205109993919,2.0287837757409832
463203-2650,40,similarity_any_lt03,base,46996,469,0.0588124423473727,12.792088191262533
463203-2650,40,similarity_any_lt03,headft,46996,469,0.034632710473030605,4.477230866941887
463203-2650,40,similarity_any_lt03,nearest_active,46996,469,0.010277156605746816,0.6396044095631266
463203-2650,40,similarity_active_lt03,base,48375,522,0.07103032554843101,13.977450840695354
463203-2650,40,similarity_active_lt03,headft,48375,522,0.04101657507155241,5.744157879737817
463203-2650,40,similarity_active_lt03,nearest_active,48375,522,0.011549825489586305,1.1488315759475634
463203-2650,40,similarity_active_03_04,base,1103,14,0.07152592232190716,14.324675324675326
463203-2650,40,similarity_active_03_04,headft,1103,14,0.071142055338441,0.0
463203-2650,40,similarity_active_03_04,nearest_active,1103,14,0.014539686392461164,0.0
463203-2650,40,similarity_active_04_055,base,86,3,,
463203-2650,40,similarity_active_04_055,headft,86,3,,
463203-2650,40,similarity_active_04_055,nearest_active,86,3,,
463203-2650,40,similarity_active_ge055,base,18,3,,
463203-2650,40,similarity_active_ge055,headft,18,3,,
463203-2650,40,similarity_active_ge055,nearest_active,18,3,,
463203-2650,100,all,base,49582,542,0.07122135724788917,13.83261665277943
463203-2650,100,all,headft,49582,542,0.08623843344654077,13.83261665277943
463203-2650,100,all,nearest_active,49582,542,0.03347390746496572,7.192960659445304
463203-2650,100,murcko_seen_any,base,201,14,0.3298169663282904,7.178571428571428
