N,stratum,metric,model,reference,n_targets,targets,estimate,low,high,scale,wins,status,n_zero_model,n_zero_reference
40,similarity_active_ge055,ap,nearest_active,base,1,434954-2097,0.8196669071669073,,,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_ge055,ap,base,headft,1,434954-2097,0.0,,,mean_difference,0,defined,,
40,similarity_active_ge055,ap,base,headft,1,434954-2097,1.0,,,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_ge055,ap,nearest_active,headft,1,434954-2097,-0.18033309283309273,,,mean_difference,0,defined,,
40,similarity_active_ge055,ap,nearest_active,headft,1,434954-2097,0.8196669071669073,,,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_ge055,ef1,headft,base,1,434954-2097,0.0,,,mean_difference,0,defined,,
40,similarity_active_ge055,ef1,headft,base,1,434954-2097,1.0,,,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_ge055,ef1,nearest_active,base,1,434954-2097,0.0,,,mean_difference,0,defined,,
40,similarity_active_ge055,ef1,nearest_active,base,1,434954-2097,1.0,,,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_ge055,ef1,base,headft,1,434954-2097,0.0,,,mean_difference,0,defined,,
40,similarity_active_ge055,ef1,base,headft,1,434954-2097,1.0,,,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_ge055,ef1,nearest_active,headft,1,434954-2097,0.0,,,mean_difference,0,defined,,
40,similarity_active_ge055,ef1,nearest_active,headft,1,434954-2097,1.0,,,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_lt03,ap,headft,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.00877668658385833,-0.017302931707706082,0.034856304875422746,mean_difference,5,defined,,
40,similarity_active_lt03,ap,headft,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.085713990654623,0.7095395914851166,1.661323601458133,geometric_ratio,5,defined,0.0,0.0
40,similarity_active_lt03,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.03105725767538684,-0.05921993627862809,-0.0028945790721455963,mean_difference,1,defined,,
40,similarity_active_lt03,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.3199694867583794,0.1398872741102556,0.7318783864193898,geometric_ratio,1,defined,0.0,0.0
40,similarity_active_lt03,ap,base,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.00877668658385833,-0.034856304875422746,0.017302931707706082,mean_difference,2,defined,,
40,similarity_active_lt03,ap,base,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.921052881889325,0.6019296897499719,1.4093646246109104,geometric_ratio,2,defined,0.0,0.0
40,similarity_active_lt03,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.03983394425924517,-0.07991406489936814,0.00024617638087780225,mean_difference,1,defined,,
40,similarity_active_lt03,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.2947088178954535,0.1334115886750267,0.6510175630761652,geometric_ratio,1,defined,0.0,0.0
40,similarity_active_lt03,ef1,headft,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8447584778604585,-5.543244974377715,7.232761930098632,mean_difference,5,defined,,
40,similarity_active_lt03,ef1,headft,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.1466552016829705,0.5943370210706184,2.2122433988347985,geometric_ratio,5,defined,0.0,0.0
40,similarity_active_lt03,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-6.872042242424222,-14.295254784965753,0.5511703001173087,mean_difference,1,defined,,
40,similarity_active_lt03,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,,,,geometric_ratio,1,log_ratio_undefined_due_to_zero,1.0,0.0
40,similarity_active_lt03,ef1,base,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.8447584778604585,-7.232761930098632,5.543244974377715,mean_difference,2,defined,,
40,similarity_active_lt03,ef1,base,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8721017429932542,0.4520298266125264,1.6825470474624553,geometric_ratio,2,defined,0.0,0.0
40,similarity_active_lt03,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-7.716800720284681,-15.863426416920355,0.4298249763509929,mean_difference,1,defined,,
40,similarity_active_lt03,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,,,,geometric_ratio,1,log_ratio_undefined_due_to_zero,1.0,0.0
40,similarity_any_lt03,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.00754933696087285,-0.012592828422593575,0.027691502344339276,mean_difference,6,defined,,
