target,n_train,budget_k,cut_M,is_full,hits,ceiling,hits_full_headft,hits_stage1_only,n_active_total,gpu_hours
493248-485317,300,500,1000,False,48,64,68,33,953,0.05555555555555555
493248-485317,300,500,2500,False,56,135,68,33,953,0.1388888888888889
493248-485317,300,500,5000,False,62,221,68,33,953,0.2777777777777778
493248-485317,300,500,10000,False,69,355,68,33,953,0.5555555555555556
493248-485317,300,500,25000,False,68,660,68,33,953,1.3888888888888888
493248-485317,300,500,49680,True,68,953,68,33,953,2.76
504329,40,100,500,False,24,36,37,8,438,0.027777777777777776
504329,40,100,1000,False,33,74,37,8,438,0.05555555555555555
504329,40,100,2500,False,35,145,37,8,438,0.1388888888888889
504329,40,100,5000,False,37,224,37,8,438,0.2777777777777778
504329,40,100,10000,False,37,303,37,8,438,0.5555555555555556
504329,40,100,25000,False,37,405,37,8,438,1.3888888888888888
504329,40,100,49682,True,37,438,37,8,438,2.7601111111111116
504329,40,500,500,False,36,36,81,36,438,0.027777777777777776
504329,40,500,1000,False,59,74,81,36,438,0.05555555555555555
504329,40,500,2500,False,82,145,81,36,438,0.1388888888888889
504329,40,500,5000,False,85,224,81,36,438,0.2777777777777778
504329,40,500,10000,False,80,303,81,36,438,0.5555555555555556
504329,40,500,25000,False,81,405,81,36,438,1.3888888888888888
504329,40,500,49682,True,81,438,81,36,438,2.7601111111111116
504329,100,100,500,False,23,36,37,8,438,0.027777777777777776
504329,100,100,1000,False,38,74,37,8,438,0.05555555555555555
504329,100,100,2500,False,43,145,37,8,438,0.1388888888888889
504329,100,100,5000,False,39,224,37,8,438,0.2777777777777778
504329,100,100,10000,False,37,303,37,8,438,0.5555555555555556
504329,100,100,25000,False,37,405,37,8,438,1.3888888888888888
504329,100,100,49682,True,37,438,37,8,438,2.7601111111111116
504329,100,500,500,False,36,36,95,36,438,0.027777777777777776
504329,100,500,1000,False,63,74,95,36,438,0.05555555555555555
504329,100,500,2500,False,92,145,95,36,438,0.1388888888888889
504329,100,500,5000,False,103,224,95,36,438,0.2777777777777778
504329,100,500,10000,False,98,303,95,36,438,0.5555555555555556
504329,100,500,25000,False,95,405,95,36,438,1.3888888888888888
504329,100,500,49682,True,95,438,95,36,438,2.7601111111111116
504329,300,100,500,False,28,36,61,8,438,0.027777777777777776
504329,300,100,1000,False,42,74,61,8,438,0.05555555555555555
504329,300,100,2500,False,62,145,61,8,438,0.1388888888888889
504329,300,100,5000,False,63,224,61,8,438,0.2777777777777778
504329,300,100,10000,False,62,303,61,8,438,0.5555555555555556
504329,300,100,25000,False,61,405,61,8,438,1.3888888888888888
504329,300,100,49682,True,61,438,61,8,438,2.7601111111111116
504329,300,500,500,False,36,36,136,36,438,0.027777777777777776
504329,300,500,1000,False,63,74,136,36,438,0.05555555555555555
504329,300,500,2500,False,100,145,136,36,438,0.1388888888888889
504329,300,500,5000,False,119,224,136,36,438,0.2777777777777778
504329,300,500,10000,False,134,303,136,36,438,0.5555555555555556
504329,300,500,25000,False,136,405,136,36,438,1.3888888888888888
504329,300,500,49682,True,136,438,136,36,438,2.7601111111111116
624273-588549,40,100,500,False,3,4,4,0,150,0.027777777777777776
624273-588549,40,100,1000,False,3,10,4,0,150,0.05555555555555555
624273-588549,40,100,2500,False,3,26,4,0,150,0.1388888888888889
624273-588549,40,100,5000,False,3,41,4,0,150,0.2777777777777778
624273-588549,40,100,10000,False,4,62,4,0,150,0.5555555555555556
624273-588549,40,100,25000,False,4,106,4,0,150,1.3888888888888888
624273-588549,40,100,49687,True,4,150,4,0,150,2.7603888888888894
624273-588549,40,500,500,False,4,4,10,4,150,0.027777777777777776
624273-588549,40,500,1000,False,9,10,10,4,150,0.05555555555555555
